name,heightMeter,hillCategory,gridRef
Beinn Teallach,914.6,MUN,NN361859
Carn Aosda,915.3,MUN,NO133791
Ben Vane,915.76,MUN,NN277098
Beinn a' Chleibh,916.3,MUN,NN250256
Geal-charn,917.1,MUN,NN596782
A' Ghlas-bheinn,918.0,MUN,NH008231
Creag nan Damh,918.0,MUN,NG983112
Meall na Teanga,918.0,MUN,NN220924
Sgurr a' Mhadaidh,918.0,MUN,NG446235
Ruadh Stac Mor,918.7,MUN,NH018756
Gairich,919.0,MUN,NN025995
Sgiath Chuil,920.0,MUN,NN462317
Carn Sgulain,920.3,MUN,NH683058
An Socach,921.0,MUN,NH088229
Beinn Alligin - Tom na Gruagaich,922.0,MUN,NG859601
